,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
0,a aduana de corón,0.0,777,0.0,42.5751588,-8.8056547,POINT (-8.8056547 42.5751588)
1,a ameixenda,0.0,2,0.0,42.9315231,-9.1633331,POINT (-9.1633331 42.9315231)
2,a espiñeira,0.0,145,0.0,43.4542725,-8.1349341,POINT (-8.1349341 43.4542725)
3,a guarda,5050.0,23,220.0,41.9012451,-8.8742166,POINT (-8.8742166 41.9012451)
4,a pobra do caramiñal,500.0,14,36.0,42.629101,-8.9449423,POINT (-8.9449423 42.629101)
5,a ponte do porto,0.0,2,0.0,43.1381527,-9.1165317,POINT (-9.1165317 43.1381527)
6,a revolta,500.0,14,36.0,43.0489833,-8.451483,POINT (-8.451483 43.0489833)
7,aios,50.0,2,25.0,42.4128718,-8.850413,POINT (-8.850413 42.4128718)
8,aldán,50.0,5,10.0,42.2903427,-8.806088,POINT (-8.806088 42.2903427)
9,argoños,500.0,2,250.0,43.45717,-3.49159,POINT (-3.49159 43.45717)
10,argüero,0.0,2,0.0,43.5402934,-5.4704738,POINT (-5.4704738 43.5402934)
11,armintza,500.0,2,250.0,43.4324183,-2.8967412,POINT (-2.8967412 43.4324183)
12,as escaselas,0.0,307,0.0,42.9256384,-9.2630428,POINT (-9.2630428 42.9256384)
13,as mariñas,500.0,1,500.0,41.9796638,-8.8854113,POINT (-8.8854113 41.9796638)
14,asterrika,0.0,352,0.0,43.325797,-2.4581251,POINT (-2.4581251 43.325797)
15,baiona,5050.0,26,194.0,42.0956868,-8.8456311,POINT (-8.8456311 42.0956868)
16,baquio,50.0,8,6.0,43.4284384,-2.8090387,POINT (-2.8090387 43.4284384)
17,beneso,0.0,1,0.0,42.7423954,-8.954071,POINT (-8.954071 42.7423954)
18,bermeo,5050.0,20,252.0,43.4194242,-2.7231562,POINT (-2.7231562 43.4194242)
19,brens,500.0,1,500.0,42.95077,-9.17283,POINT (5.6954688 45.7206616)
20,bueu,5000.0,9,556.0,42.3272768,-8.7863966,POINT (-8.7863966 42.3272768)
21,burela,5000.0,9,556.0,43.6606329,-7.3587521,POINT (-7.3587521 43.6606329)
22,caamaño,0.0,1,0.0,42.658084,-9.0233388,POINT (-9.0233388 42.658084)
23,camariñas,500.0,14,36.0,43.1297203,-9.1851613,POINT (-9.1851613 43.1297203)
24,cambados,500.0,20,25.0,42.51439,-8.8138414,POINT (-8.8138414 42.51439)
25,camelle,50.0,2,25.0,43.1773237,-9.1050415,POINT (-9.1050415 43.1773237)
26,campo,5050.0,3,1683.0,43.309379,-8.542771,POINT (9.0054983 41.892072)
27,candás,5000.0,5,1000.0,43.588353,-5.762742,POINT (2.2587844 50.1068897)
28,cangas,5500.0,27,204.0,42.2647235,-8.7796487,POINT (-8.7796487 42.2647235)
29,cangas de foz,0.0,1,0.0,43.6260123,-7.333295,POINT (-7.333295 43.6260123)
30,caravia,5000.0,2,2500.0,43.458107,-5.1897296943154245,POINT (-5.1897296943154245 43.458107)
31,cariño,500.0,4,125.0,43.7412174,-7.8698084,POINT (-7.8698084 43.7412174)
32,carnota,500.0,7,71.0,42.8595134,-9.0955985,POINT (-9.0955985 42.8595134)
33,castro urdiales,5050.0,22,230.0,43.3843347,-3.2162576,POINT (-3.2162576 43.3843347)
34,castropol,50000.0,5,10000.0,43.5276581,-7.0300508,POINT (-7.0300508 43.5276581)
35,catoira,500.0,4,125.0,42.6583215,-8.703448950394016,POINT (-8.703448950394016 42.6583215)
36,cedeira,500.0,12,42.0,43.6602391,-8.0546995,POINT (-8.0546995 43.6602391)
37,celorio,5000.0,5,1000.0,43.427945,-4.8098274,POINT (-4.8098274 43.427945)
38,cerdigo,0.0,1,0.0,43.3993497,-3.26633,POINT (-3.26633 43.3993497)
39,cervo,5000.0,3,1667.0,43.6731,-7.4124,POINT (8.1151521 43.9257729)
40,combarro,5000.0,15,333.0,42.4317048,-8.7051951,POINT (-8.7051951 42.4317048)
41,comillas,5050.0,9,561.0,43.3855344,-4.2901505,POINT (-4.2901505 43.3855344)
42,corcubión,500.0,11,45.0,42.9303638,-9.1987307,POINT (-9.1987307 42.9303638)
43,corrubedo,500.0,3,167.0,42.5835083,-9.0728216,POINT (-9.0728216 42.5835083)
44,cudillero,5050.0,27,187.0,43.54335745,-6.1936313237885,POINT (-6.1936313237885 43.54335745)
45,el astillero,500.0,4,125.0,43.4001931,-3.8185789,POINT (-3.8185789 43.4001931)
46,elantxobe,500.0,2,250.0,43.4031122,-2.6404556,POINT (-2.6404556 43.4031122)
47,esteiro,500.0,1,500.0,42.8105387,-8.9861153,POINT (-8.9861153 42.8105387)
48,estorde,50.0,2,25.0,42.9452725,-9.2133495,POINT (-9.2133495 42.9452725)
49,fene,500.0,4,125.0,43.473674,-8.1625614,POINT (-8.1625614 43.473674)
50,ferrol,5050.0,23,220.0,43.4846862,-8.233162,POINT (-8.233162 43.4846862)
51,finisterre,5050.0,30,168.0,42.904168,-9.268672,POINT (-4.044090245241742 48.24511525)
52,foz,50500.0,23,2196.0,43.580832,-7.3252913,POINT (-7.3252913 43.580832)
53,galizano,500.0,3,167.0,43.4682658,-3.6712146,POINT (-3.6712146 43.4682658)
54,gaztelugatxeko doniene,0.0,320,0.0,43.4474105,-2.7848295314356424,POINT (-2.7848295314356424 43.447410500000004)
55,getaria,5050.0,7,721.0,43.3044559,-2.2037374,POINT (-2.2037374 43.3044559)
56,getxo,5050.0,15,337.0,43.3479409,-3.0087671,POINT (-3.0087671 43.3479409)
57,gijón,5050.0,98,52.0,43.5449422,-5.66275,POINT (-5.66275 43.5449422)
58,gorliz,500.0,4,125.0,43.4127349,-2.9375015,POINT (-2.9375015 43.4127349)
59,hondarribia,5050.0,8,631.0,43.3624468,-1.7914309,POINT (-1.7914309 43.3624468)
